"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
"skiplimit",35,80,325.4413604736328,325.4413604736328,325.4413604736328,325.4413604736328
"idlimit",35,80,321.1498260498047,321.1498260498047,321.1498260498047,321.1498260498047
90
"skiplimit",35,90,317.65302022298175,317.65302022298175,317.65302022298175,317.65302022298175
"idlimit",35,90,317.4146016438802,317.4146016438802,317.4146016438802,317.4146016438802
100
"skiplimit",35,100,317.1761830647786,317.1761830647786,317.1761830647786,317.1761830647786
"idlimit",35,100,321.30877176920575,321.30877176920575,321.30877176920575,321.30877176920575
40
10
"skiplimit",40,10,276.6251564025879,272.90980021158856,272.90980021158856,272.43296305338544
"idlimit",40,10,302.0167350769043,304.93736267089844,304.93736267089844,297.22849527994794
20
"skiplimit",40,20,295.5993016560872,293.57274373372394,293.57274373372394,293.57274373372394
"idlimit",40,20,326.39503479003906,318.36827596028644,318.36827596028644,318.36827596028644
30
"skiplimit",40,30,395.5761591593424,392.2780354817708,392.2780354817708,392.2780354817708
"idlimit",40,30,309.86467997233075,309.6262613932292,309.6262613932292,309.6262613932292
40
"skiplimit",40,40,332.4349721272786,332.4349721272786,332.4349721272786,332.4349721272786
"idlimit",40,40,330.3686777750651,330.3686777750651,330.3686777750651,330.3686777750651
50
"skiplimit",40,50,325.12346903483075,325.12346903483075,325.12346903483075,325.12346903483075
"idlimit",40,50,347.8527069091797,347.8527069091797,347.8527069091797,347.8527069091797
60
"skiplimit",40,60,324.8850504557292,324.8850504557292,324.8850504557292,324.8850504557292
"idlimit",40,60,324.40821329752606,324.40821329752606,324.40821329752606,324.40821329752606
70
"skiplimit",40,70,335.2959950764974,335.2959950764974,335.2959950764974,335.2959950764974
"idlimit",40,70,333.2297007242839,333.2297007242839,333.2297007242839,333.2297007242839
80
"skiplimit",40,80,339.1106923421224,339.1106923421224,339.1106923421224,339.1106923421224
"idlimit",40,80,335.0575764973958,335.0575764973958,335.0575764973958,335.0575764973958
90
"skiplimit",40,90,324.6466318766276,324.6466318766276,324.6466318766276,324.6466318766276
"idlimit",40,90,322.02402750651044,322.02402750651044,322.02402750651044,322.02402750651044
100
"skiplimit",40,100,361.6809844970703,361.6809844970703,361.6809844970703,361.6809844970703
"idlimit",40,100,377.0987192789714,377.0987192789714,377.0987192789714,377.0987192789714
45
10
"skiplimit",45,10,285.3870391845703,281.33392333984375,281.33392333984375,267.8235371907552
"idlimit",45,10,306.6539764404297,310.5004628499349,310.5004628499349,291.744867960612
20
"skiplimit",45,20,286.1817677815755,288.7248992919922,288.7248992919922,270.52561442057294
"idlimit",45,20,303.58632405598956,297.86427815755206,297.86427815755206,286.8175506591797
30
"skiplimit",45,30,300.84451039632165,290.3143564860026,290.3143564860026,290.3143564860026
"idlimit",45,30,319.0437952677409,316.0635630289714,316.0635630289714,316.0635630289714
40
"skiplimit",45,40,302.63264973958337,278.63184611002606,278.63184611002606,278.63184611002606
"idlimit",45,40,311.6130828857422,300.0100453694661,300.0100453694661,300.0100453694661
50
"skiplimit",45,50,333.46811930338544,333.46811930338544,333.46811930338544,333.46811930338544
"idlimit",45,50,350.63425699869794,350.63425699869794,350.63425699869794,350.63425699869794
60
"skiplimit",45,60,329.891840616862,329.891840616862,329.891840616862,329.891840616862
"idlimit",45,60,330.28920491536456,330.28920491536456,330.28920491536456,330.28920491536456
70
"skiplimit",45,70,331.7991892496745,331.7991892496745,331.7991892496745,331.7991892496745
"idlimit",45,70,334.1833750406901,334.1833750406901,334.1833750406901,334.1833750406901
80
"skiplimit",45,80,325.28241475423175,325.28241475423175,325.28241475423175,325.28241475423175
"idlimit",45,80,330.6070963541667,330.6070963541667,330.6070963541667,330.6070963541667
90
"skiplimit",45,90,330.6865692138672,330.6865692138672,330.6865692138672,330.6865692138672
"idlimit",45,90,331.3223520914714,331.3223520914714,331.3223520914714,331.3223520914714
100
"skiplimit",45,100,332.19655354817706,332.19655354817706,332.19655354817706,332.19655354817706
"idlimit",45,100,339.9054209391276,339.9054209391276,339.9054209391276,339.9054209391276
50
10
"skiplimit",50,10,273.43432108561194,272.671381632487,272.671381632487,269.17457580566406
"idlimit",50,10,296.0364023844401,297.54638671875,297.54638671875,292.77801513671875
20
"skiplimit",50,20,290.49979315863715,289.8375193277995,289.8375193277995,279.7444661458333
"idlimit",50,20,306.15594651963977,298.2616424560547,298.2616424560547,294.1290537516276
30
"skiplimit",50,30,296.2350845336914,285.5459849039714,285.5459849039714,285.5459849039714
